Suborder	Species	L	W	Thickness	Strategy	V	SVL	BM	OV
Antarcticoolithus	Antarcticoolithus_bradyi	290	200	721.9367	NA	5471405.789	NA	NA	NA
Sphenodontia	Sphenodon_punctatus	35	27	200	Laid	11791.51888	257.2307692	608.2307692	Oviparous
Anguimorpha	Elgaria_multicarinata	16.6	10.5	52.27	Laid	873.8342893	100.6	31.7	Oviparous
Anguimorpha	Varanus_bengalensis	39	30	NA	NA	16230.72945	610	4940	Oviparous
Anguimorpha	Varanus_gouldii	55.1	27.4	550	Unlaid	20174.07132	385.15	821.06	Oviparous
Anguimorpha	Varanus_indicus	64	48	550	Laid	68532.6737	421	1287	Oviparous
Anguimorpha	Varanus_komodoensis	86.5	55.5	NA	NA	126985.2433	872.5	37140	Oviparous
Anguimorpha	Varanus_salvator	70	40	400	Laid	54067.44507	571	4345	Oviparous
Gekkota	Aeluroscalabotes_felinus	20	12	NA	NA	1383.558927	63.36	6.12	Oviparous
Gekkota	Coleonyx_brevis	12.7	7.3	NA	NA	326.5345061	56.05	3.2	Oviparous
Gekkota	Coleonyx_elegans	18.6	9.8	NA	NA	868.0226657	85.725	11.15	Oviparous
Gekkota	Coleonyx_mitratus	18.1	9.4	NA	NA	777.9047682	80.65	12.125	Oviparous
Gekkota	Coleonyx_reticulatus	22	11	NA	NA	1297.821901	81	8.9	Oviparous
Gekkota	Coleonyx_variegatus	16.3	8.6	NA	NA	585.7450239	59.83	3.88	Oviparous
Gekkota	Eublepharis_angramainyu	38.7	21.7	NA	NA	8812.179216	155.75	86.575	Oviparous
Gekkota	Eublepharis_macularius	27.4	14.7	37.5	Unlaid	2873.320319	125.05	59.65	Oviparous
Gekkota	Eublepharis_turcmenicus	31	19.2	NA	NA	5470.376879	143	62	Oviparous
Gekkota	Goniurosaurus_lichtenfelderi	20	12	NA	NA	1383.558927	93.83	12.44	Oviparous
Gekkota	Goniurosaurus_luii	26.4	13.5	NA	NA	2342.5869	108.895	23.035	Oviparous
Gekkota	Hemitheconyx_caudicinctus	27.7	13.2	NA	NA	2358.914017	113.55	44.025	Oviparous
Gekkota	Bunopus_blanfordii	13	8.7	NA	NA	466.2370162	42.80625	1.65	Oviparous
Gekkota	Cyrtopodion_kachhense	9.5	7	NA	NA	217.0794718	37.45	3.3	Oviparous
Gekkota	Gehyra_dubia	NA	NA	NA	NA	545	65.3	5.38	Oviparous
Gekkota	Gehyra_variegata	NA	NA	NA	NA	671	49.5	3	Oviparous
Gekkota	Gekko_gecko	23	23	280	Laid	5229.325921	151.6	63.15	Oviparous
Gekkota	Gymnodactylus_amarali	8.8	5.7	NA	NA	136.0944503	43.77	4.3	Oviparous
Gekkota	Gymnodactylus_geckoides	9.2	6	NA	NA	157.5060794	39.33	2.15	Oviparous
Gekkota	Hemidactylus_bouvieri	9	9	55	Laid	313.3211635	46	2.8	Oviparous
Gekkota	Hemidactylus_frenatus	9.8	8.3	NA	NA	305.3241301	49.2	3.3	Oviparous
Gekkota	Hemidactylus_imbricatus	9.8	9	NA	NA	350.9497819	49.25	3.8	Oviparous
Gekkota	Hemidactylus_mabouia	9.4	7	NA	NA	214.3657106	58.3	4.19	Oviparous
Gekkota	Hemidactylus_turcicus	10.1	8.4	NA	NA	323.7757603	47.1	2.84	Oviparous
Gekkota	Lygodactylus_klugei	6.6	4.5	NA	NA	63.15133385	29.7	0.73	Oviparous
Gekkota	Mediodactylus_amictopholis	10.3	6.6	NA	NA	213.8702677	39	1.4	Oviparous
Gekkota	Mediodactylus_kotschyi	8.7	7.3	40	Laid	210.1705927	40.9	2	Oviparous
Gekkota	Phelsuma_madagascariensis	23.5	13.5	130	Laid	2066.51626	94.46666667	20.68	Oviparous
Gekkota	Stenodactylus_doriae	12.3	10.5	NA	NA	612.0325343	63.235	8.2325	Oviparous
Gekkota	Stenodactylus_sthenodactylus	10.9	8.9	NA	NA	394.0054928	49.09625	4.35	Oviparous
Gekkota	Tropiocolotes_steudneri	7	5.4	NA	NA	94.33215104	26.33	0.3	Oviparous
Gekkota	Phyllopezus_pollicaris	13	9.4	NA	NA	537.5144084	75.25	10.58	Oviparous
Gekkota	Ptyodactylus_guttatus	14	13.1	NA	NA	1056.048487	75.515	10.9	Oviparous
Gekkota	Ptyodactylus_hasselquistii	13.3	13.3	150	Laid	1011.153583	80	9.34375	Oviparous
Gekkota	Ptyodactylus_puiseuxi	13.5	11	NA	NA	745.8105269	70	9.7	Oviparous
Gekkota	Tarentola_delalandii	12.2	10	NA	NA	556.233375	52.64	6.03	Oviparous
Gekkota	Tarentola_gigas	20	20	40	Laid	3438.366677	127	93	Oviparous
Gekkota	Tarentola_mauritanica	12.9	10.3	48	Laid	627.7731493	70	7.3	Oviparous
Iguania	Agama_lionotus	13	8	NA	NA	398.5681431	72.1	105.9	Oviparous
Iguania	Agama_planiceps	13	9	92.5	Laid	496.3689775	114	49.3	Oviparous
Iguania	Amphibolurus_muricatus	NA	NA	NA	NA	951.3	91.5	28.37	Oviparous
Iguania	Bronchocela_marmorata	42.91	11.07	188	Laid	2570.372382	100.82	66.8	Oviparous
Iguania	Calotes_versicolor	13.3	7.5	NA	NA	361.5859543	100.25	23.84	Oviparous
Iguania	Diporiphora_bilineata	NA	NA	NA	NA	215.9	54.5	3.63	Oviparous
Iguania	Laudakia_tuberculata	16.2	9	200	Laid	635.033294	150	94.2	Oviparous
Iguania	Lophognathus_gilberti	NA	NA	NA	NA	751.3	82.6	8.9	Oviparous
Iguania	Pogona_barbata	30	18	80	Laid	4669.511377	250	373	Oviparous
Iguania	Rankinia_diemensis	NA	NA	NA	NA	408.5	65.15	10	Oviparous
Iguania	Sitana_ponticeriana	9.1	5.2	NA	NA	118.7861768	62.2	6.84	Oviparous
Iguania	Trapelus_megalonyx	12	12	NA	NA	742.6872023	65.5	13.7	Oviparous
Iguania	Trapelus_mutabilis	20	10	125	Unlaid	975.0728031	85.55	15	Oviparous
Iguania	Calumma_parsonii	NA	NA	245	Laid	NA	188.45	295	Oviparous
Iguania	Chamaeleo_senegalensis	16	9	500	Unlaid	626.5245325	125	31.1	Oviparous
Iguania	Chamaeleo_zeylanicus	18	9	NA	NA	710.8280735	118	227.8	Oviparous
Iguania	Kinyongia_tavetana	13	7	45	Unlaid	309.0430902	97	21.3	Oviparous
Iguania	Trioceros_jacksonii	14.775	8.725	180.62	Unlaid	541.2377925	105	37.46	Viviparous
Iguania	Basiliscus_plumifrons	27	18	110	Unlaid	4147.399704	118.46	66.16	Oviparous
Iguania	Basiliscus_vittatus	24	14	82.5	Laid	2266.372089	137.45	70	Oviparous
Iguania	Crotaphytus_collaris	21.3	12.8	93.3	Unlaid	1676.222399	102.45	37.1	Oviparous
Iguania	Gambelia_wislizenii	20.5	12.5	NA	NA	1536.06178	109.5	47	Oviparous
Iguania	Anolis_aeneus	14.1	NA	NA	NA	NA	51.66	10.6	Oviparous
Iguania	Anolis_carolinensis	10.5	6	170	Laid	182.4776271	49.25	2.25	Oviparous
Iguania	Anolis_limifrons	NA	NA	45	Laid	NA	37.005	1.8	Oviparous
Iguania	Ctenosaura_pectinata	33	21	65	Laid	6943.263716	309.2	961.4	Oviparous
Iguania	Iguana_iguana	40.4	29.3	124.81	Laid	16220.90565	387.55	1530	Oviparous
Iguania	Oplurus_cuvieri	27	17.5	NA	NA	3935.592638	144.49	117.6627273	Oviparous
Iguania	Callisaurus_draconoides	15.2	7.5	29	Unlaid	417.1502979	73.4	10.285	Oviparous
Iguania	Cophosaurus_texanus	15.6	8.4	NA	NA	534.0264598	70.07	10.2	Oviparous
Iguania	Holbrookia_maculata	11.2	7.2	NA	NA	276.6462568	54.15	4.9	Oviparous
Iguania	Phrynosoma_cornutum	14	9	35.62	Laid	540.3247202	114	38	Oviparous
Iguania	Phrynosoma_platyrhinos	15.3	10.1	NA	NA	740.9889444	75.25	18.8	Oviparous
Iguania	Sceloporus_clarkii	15.5	9.5	57.96	Laid	670.4401099	92.3	33.25	Oviparous
Iguania	Sceloporus_horridus	14.2	7.9	NA	NA	428.8322561	82.7	49.1	Oviparous
Iguania	Sceloporus_magister	15	10	73.54	Laid	711.1453539	86.3	43.58	Oviparous
Iguania	Sceloporus_occidentalis	12	7	NA	NA	283.2965112	66.15	13.55	Oviparous
Iguania	Sceloporus_scalaris	10.1	6.1	27	Laid	180.4165802	51.9	3.85	Oviparous
Iguania	Sceloporus_spinosus	15.1	8.8	71.1	Laid	563.4386269	88.74	22.7	Oviparous
Iguania	Sceloporus_undulatus	12.7	7.3	45.1	Laid	326.5345061	62.5	11.25	Oviparous
Iguania	Sceloporus_virgatus	11.4	7	40.92	Laid	267.6641121	54.95	7.1	Oviparous
Iguania	Urosaurus_graciosus	10.3	6.5	NA	NA	207.8412416	48.7	3.49	Oviparous
Iguania	Urosaurus_ornatus	9.8	6.5	52.36	Unlaid	196.4440322	50.87	3.35	Oviparous
Iguania	Uta_stansburiana	11.9	7	65.59	Unlaid	280.7012321	46.17	3	Oviparous
Iguania	Plica_plica	28.6	14.1	NA	NA	2774.28042	109.15	79.39	Oviparous
Iguania	Tropidurus_torquatus	NA	NA	NA	NA	598.5628205	94.25	37.45	Oviparous
Lacertoidea	Chirindia_ewerbecki	31	2	NA	NA	56.37017236	153	1.3	Oviparous
Lacertoidea	Blanus_cinereus	34	6	30	Laid	589.1332874	174.9	6	Oviparous
Lacertoidea	Acanthodactylus_erythrurus	15.3	9.4	NA	NA	647.7514113	70.485	8.714067	Oviparous
Lacertoidea	Algyroides_fitzingeri	14.9	8.9	NA	NA	567.2560292	29.1	2.2	Oviparous
Lacertoidea	Algyroides_marchi	15.8	9.8	NA	NA	726.253075	35.3	3.5	Oviparous
Lacertoidea	Algyroides_moreoticus	15.1	9.4	NA	NA	638.2975374	45	3.19	Oviparous
Lacertoidea	Algyroides_nigropunctatus	15.8	11.2	NA	NA	930.6403908	60.04	3.63	Oviparous
Lacertoidea	Anatololacerta_anatolica	18	11.8	NA	NA	1191.06468	62.552	9.8	Oviparous
Lacertoidea	Anatololacerta_danfordi	17.9	12	NA	NA	1221.041149	64	4.5	Oviparous
Lacertoidea	Anatololacerta_pelasgiana	16.4	12	NA	NA	1102.723717	67	7	Oviparous
