Clade	Taxon	Eggshell_thickness	Egg_mass	Prismatic_layer
Birds	Prinia_gracilis	69	1.12	Present
Birds	Carduelis_carduelis	70	1.23	Present
Birds	Passer_moabiticus	88	1.5	Present
Birds	Muscicapa_striata	76	1.85	Present
Birds	Carduelis_chloris	68	1.94	Present
Birds	Melopsittacus_undulatus	116	2.25	Present
Birds	Erythropygia_galactotes	80	2.3	Present
Birds	Lanius_nubicus	95	2.46	Present
Birds	Passer_domesticus	102	2.76	Present
Birds	Galerida_cristata	95	2.93	Present
Birds	Pycnonotus_capensis	83	3.05	Present
Birds	Turdus_merula	122	6.36	Present
Birds	Streptopelia_senegalensis	120	6.63	Present
Birds	Streptopelia_decaocto	132	7.45	Present
Birds	Streptopelia_risoria	119	8.03	Present
Birds	Streptopelia_turtur	137	8.3	Present
Birds	Glareola_pratincola	151	8.42	Present
Birds	Falco_naumanni	194	10.84	Present
Birds	Athene_noctua	187	14	Present
Birds	Chlidonias_leucoptera	148	14.04	Present
Birds	Gallinula_chloropus	229	14.29	Present
Birds	Corvus_corone	177	14.99	Present
Birds	Falco_tinnunculus	242	18.09	Present
Birds	Alectoris_graeca	278	18.23	Present
Birds	Himantopus_himantopus	185	18.51	Present
Birds	Tyto_alba	241	18.71	Present
Birds	Sterna_hirundo	171	19.5	Present
Birds	Nycticorax_nycticorax	205	20.75	Present
Birds	Bubulcus_ibis	204	23.22	Present
Birds	Egretta_garzetta	218	28.52	Present
Birds	Phasianus_colchicus	308	29.22	Present
Birds	Burhinus_oedicnemus	266	33.51	Present
Birds	Gallus_domesticus	295	35.88	Present
Birds	Strix_aluco	268	36.14	Present
Birds	Larus_ridibundus	231	37.5	Present
Birds	Ardea_cinerea	242	49.6	Present
Birds	Geronticus_eremita	394	50.16	Present
Birds	Anas_platyrhynchos	315	54	Present
Birds	Buteo_rufinus	371	60.72	Present
Birds	Bubo_bubo	349	69.3	Present
Birds	Ciconia_ciconia	502	78.78	Present
Birds	Aquila_rapax	520	92.83	Present
Birds	Anser_anser	741	173.01	Present
Birds	Gyps_fulvus	676	243.88	Present
Birds	Nectarinia_osea	52	0.86	Present
Birds	Struthio_camelus	2245	1460.85	Present
Crocodilians	Alligator	530	99.35	Present
Crocodilians	Crocodylus_niloticus	530	113.61	Present
Crocodilians	Crocodylus_acutus	450	75.08	Present
Chelonians	Lepidochelys_kempi	40	30.73	Present
Chelonians	Geochelone_elephantopus	400	101.64	Present
Chelonians	Chelydra_serpentina	110	8.34	Present
Chelonians	BMNH_47208	900	56.7	Present
Chelonians	Testudoolithus_jiangi	730	57.7	Present
Chelonians	Testudoolithus_rigidus	235	46.43	Present
Non-avian_dinosaurs	Elongatoolithidae	1300	323	Present
Non-avian_dinosaurs	Macroolithus_yaotunensis	1450	911	Present
Non-avian_dinosaurs	Macroolithus_rugustus	1420	592	Present
Non-avian_dinosaurs	Elongatoolithus_andrewsi	980	384	Present
Non-avian_dinosaurs	Lourinhanosaurus_antunesi	900	643	Present
Non-avian_dinosaurs	Macroelongatoolithus_xixianensis	2100	3145	Present
Non-avian_dinosaurs	Prismatoolithus_levis_troodontid	1000	331	Present
Non-avian_dinosaurs	indet_theropod1	300	168	Present
Non-avian_dinosaurs	indet_theropod2	1300	224	Present
Non-avian_dinosaurs	indet_theropod3	1200	210	Present
Non-avian_dinosaurs	indet_theropod4	1300	273	Present
Non-avian_dinosaurs	Titanosaur	2300	2045	Present
Non-avian_dinosaurs	Titanosaur_Type2	1400	1756	Present
Non-avian_dinosaurs	Cairanoolithus_roussetenssis	1700	2751	Present
Non-avian_dinosaurs	Cairanoolithus_dughii	2100	3001	Present
Non-avian_dinosaurs	Cairanoolithus_dughii_Titanosaur_Type1	1900	3001	Present
Non-avian_dinosaurs	Megaloolithus_sp.1	1600	1890	Present
Non-avian_dinosaurs	Megaloolithus_sp.2	2400	2751	Present
Non-avian_dinosaurs	Megaloolithus_mamillare_Titanosaur_type3.1	1600	5186	Present
Non-avian_dinosaurs	Megaloolithus_mamillare_Titanosaur_type3.2	1300	5565	Present
Non-avian_dinosaurs	Megaloolithus_mamillare2	1800	5186	Present
Non-avian_dinosaurs	Megaloolithus_siruguei_Titanosaur_Type4_1	2200	3546	Present
