Species	Resting metabolic rate (mLO2 h-1 g-0.67)	Vascular density (vascular canals/mm2)	Osteocyte density (osteocyte/µm2)	Osteocyte area (µm2)	Osteocyte shape
Anas platyrhynchos	10.865	128.694527060703	0.002567298	20.64401514	0.496256631
Cavia porcellus	3.477	106.281022567591	0.0018753	34.15500446	0.497251828
Chelodina oblonga	0.085	0	0.000972828	28.12464156	0.615366523
Crocodylus niloticus	0.336	33.0773344329199	0.000707445	29.69356703	0.474721005
Mus musculus	1.696	183.788534371127	0.001222124	29.48473031	0.48045441
Pelodiscus sinensis	0.083	0	0.000913358	24.48596176	0.52191737
Zootoca vivipara	0.124	0	0.002442651	13.67676453	0.42653396
Podarcis muralis	0.084	0	0.001117739	11.99151273	0.438353062
Trachemys scripta	0.117	0	0.001403736	28.96309753	0.494580499
Varanus exanthematicus	0.173	14.2857142857143	0.001195398	33.36199916	0.462645883
Varanus niloticus	0.157	0	0.001007931	39.69956533	0.478829164
Microcebus murinus	1.526	46.9122807831062	0.003900548	30.00811295	0.586549866
Gallus gallus	8.289	90.8606008030904	0.00251267455334826	27.7325611111111	0.524018532302846
Pleurodeles waltl	0.298	0	0.000591142683364756	134.939470919724	0.59478267
Calyptosuchus wellesi	NA	282.6510721	0.004083333	33.1514112227806	0.500267399932466
Lesothosaurus diagnosticus	NA	218.1208054	0.0026875	103.045938023451	0.370274928839365
Troodon formosus	NA	90.06499536	0.001458333	69.5029452819654	0.447295979150294
Allosaurus fragilis	NA	227.8953923	0.0055	31.2518006700168	0.46962203148518
Rutiodon carolinensis	NA	153.2258065	0.001107143	37.293756281407	0.410763657916019
Maiasaura peeblesorum	NA	38.354	0.0010714	44.413	0.550725544
Proterosuchus fergusi	NA	24.0022155891313	0.00106	27.9310666666667	0.557914745629004
