Species	Resting metabolic rate (mLO2 h-1 g-0.67)	Vascular density (vascular canals/mm2)	Osteocyte density (osteocyte/µm2)	Osteocyte area (µm2)	Osteocyte shape
Anas platyrhynchos	10.865	172.948128036389	0.002283169	24.2913684	0.509126729
Cavia porcellus	3.477	112.748071213665	0.001966108	34.98627114	0.485471037
Chelodina oblonga	0.085	0	0.001208368	24.27796702	0.56336775
Crocodylus niloticus	0.336	48.9566613162119	0.000699242	34.60152723	0.485430779
Mus musculus	1.696	98.5172697587368	0.001230761	22.62412616	0.526253882
Pelodiscus sinensis	0.083	0	0.001185422	20.92560266	0.497140919
Zootoca vivipara	0.124	0	0.003264965	10.45412684	0.442348205
Podarcis muralis	0.084	0	0.000864162	11.95338603	0.404075493
Trachemys scripta	0.117	0	0.001196311	27.13462106	0.516404884
Varanus exanthematicus	0.173	5.54235946159937	0.001232928	36.29314955	0.43520731
Varanus niloticus	0.157	0	0.001394133	38.16383708	0.470869021
Microcebus murinus	1.526	71.3086607085024	0.003801204	28.5159804	0.526748184
Gallus gallus	8.289	114.113775872705	0.0024206	31.2058777777778	0.469400018333333
Pleurodeles waltl	0.298	0	0.000834282915844044	107.919445	0.553076315868428
Euparkeria capensis	NA	48.1565086531226	0.0024926	54.8955	0.460484735
Postosuchus kirkpatricki	NA	189.542483660131	0.00127928627	20.7122	0.519369871612199
Garjainia prima	NA	50.7711801459344	0.0024	38.8653333333333	0.596993814104061
Prolacerta broomi	NA	73.8916256157636	0.00138134057971014	32.3056666666667	0.619125485374345
