Species	Resting metabolic rate (mLO2 h-1 g-0.67)	Vascular density (vascular canals/mm2)	Osteocyte density (osteocyte/µm2)	Osteocyte area (µm2)	Osteocyte shape
Anas platyrhynchos	10.865	149.982934476068	0.002240553	19.06358609	0.516224536
Cavia porcellus	3.477	107.370288052474	0.001741841	31.00008338	0.462107059
Chelodina oblonga	0.085	0	0.001542919	19.95595849	0.588528274
Crocodylus niloticus	0.336	37.2867186782481	0.000996448	31.43206434	0.479811325
Mus musculus	1.696	96.9075321494182	0.002313816	35.1201552	0.529067199
Pelodiscus sinensis	0.083	0	0.009798535	24.91903184	0.470861199
Zootoca vivipara	0.124	0	0.003155075	9.388013059	0.482823293
Podarcis muralis	0.084	0	0.001295381	11.40084323	0.401535996
Trachemys scripta	0.117	0	0.00140317	23.30202384	0.486474631
Varanus exanthematicus	0.173	0	0.000808207	41.0505927	0.536259544
Varanus niloticus	0.157	0	0.001170244	19.44811242	0.484534718
Microcebus murinus	1.526	41.0737551475525	0.0038192	28.42977305	0.61801105
Gallus gallus	8.289	91.2002224987244	0.003364975	31.1479916666667	0.506599179
Pleurodeles waltl	0.298	0	0.000591142683364756	134.939470919724	0.59478267
Allosaurus fragilis	NA	210.889570552147	0.000341463414634146	23.3261404243439	0.406957992715654
Coelophysis bauri	NA	734.7418	0.011299568	3.476791879	0.475825076
Lesothosaurus diagnosticus	NA	31.565	0.0017262	33.3608083333333	0.590483604
Lourinhanosaurus antunesi	NA	39.09725	0.001689	38.0528416666667	0.501547735
Maiasaura peeblesorum	NA	37.976	0.0019568	52.74975	0.577290403
Thecodontosaurus antiquus	NA	14.899	0.0016667	64.729	0.501839631
Garjainia prima	NA	45.4078671250614	0.000705	66.6206666666667	0.73175055972707
Prolacerta broomi	NA	60.7142857142857	0.0013	19.0888333333333	0.636988053110785
Proterosuchus fergusi	NA	31.101963474795	0.00162	26.047	0.625846658263219
